STT,long,lat
431,103.71132510,22.73495430
432,103.71165770,22.73475140
433,103.71183870,22.73463890
434,103.71192860,22.73457580
435,103.71202510,22.73449790
436,103.71322890,22.73343470
437,103.71343370,22.73325360
438,103.71359020,22.73314840
439,103.71377660,22.73305560
440,103.71440290,22.73266600
441,103.71453970,22.73256090
442,103.71462960,22.73247800
443,103.71470600,22.73239510
444,103.71499300,22.73214650
445,103.71531220,22.73189420
446,103.71543290,22.73180760
447,103.71557240,22.73172470
448,103.71570240,22.73166160
449,103.71581380,22.73159480
450,103.71587280,22.73155900
451,103.71592100,22.73151810
452,103.71597210,22.73145480
453,103.71600960,22.73129420
454,103.71610750,22.73095660
455,103.71616650,22.73081180
456,103.71632950,22.73047760
457,103.71635690,22.73040490
458,103.71637430,22.73031460
459,103.71638640,22.73014760
460,103.71637870,22.72984020
461,103.71638240,22.72978270
462,103.71639980,22.72971470
463,103.71644810,22.72960460
464,103.71657480,22.72938650
465,103.71664660,22.72926940
466,103.71667610,22.72920630
467,103.71668790,22.72914190
468,103.71667880,22.72909310
469,103.71666000,22.72904670
470,103.71661040,22.72897000
471,103.71650580,22.72885870
472,103.71635820,22.72872140
473,103.71623750,22.72860020
474,103.71617720,22.72851110
475,103.71614460,22.72841090
476,103.71613030,22.72834540
477,103.71612620,22.72825260
478,103.71613160,22.72815610
479,103.71615040,22.72805710
480,103.71620600,22.72794580
481,103.71625700,22.72789760
482,103.71630730,22.72787650
483,103.71638600,22.72786810
484,103.71649490,22.72790130
485,103.71701730,22.72808890
486,103.71719510,22.72815240
487,103.71745860,22.72825740
488,103.71755320,22.72828470
489,103.71764300,22.72830210
490,103.71774230,22.72830950
491,103.71783510,22.72830370
492,103.71793810,22.72828350
493,103.71799040,22.72826800
494,103.71804270,22.72824520
495,103.71824990,22.72813440
496,103.71837730,22.72803610
497,103.71846780,22.72794090
498,103.71884130,22.72746960
499,103.71906260,22.72725560
500,103.71924160,22.72714680
501,103.71942670,22.72707280
502,103.71970830,22.72700320
503,103.72035740,22.72691170
504,103.72131760,22.72677070
505,103.72171730,22.72672620
506,103.72182060,22.72670760
507,103.72190510,22.72668450
